,route_id,parent_station,jobspersqft,tot_jobs
0,Blue,place-aport,11152357.850670224,625
1,Blue,place-aqucl,158113990.0009291,5169
2,Blue,place-bmmnl,5537589.692423894,232
3,Blue,place-bomnl,386722490.8795138,55847
4,Blue,place-gover,676910896.5145472,27638
5,Blue,place-mvbcl,46998077.91725467,3042
6,Blue,place-orhte,22683136.640859753,676
7,Blue,place-rbmnl,9022259.431852408,543
8,Blue,place-sdmnl,28080771.244057838,184
9,Blue,place-state,1627706046.9480298,105807
10,Blue,place-wimnl,52343334.75073992,955
11,Blue,place-wondl,6098507.138171605,225
12,Green,place-alsgr,14292114.460275246,446
13,Green,place-amory,60863365.336551666,964
14,Green,place-armnl,364061589.7411208,28921
15,Green,place-babck,202567867.27978012,19116
16,Green,place-balsq,11020574.978175363,627
17,Green,place-bckhl,17612217.74514604,292
18,Green,place-bcnfd,2154077.6711580795,98
19,Green,place-bcnwa,24588408.898216344,785
20,Green,place-bland,97409432.66358954,2467
21,Green,place-bndhl,10886541.900733026,162
22,Green,place-boyls,421941452.91668504,21456
23,Green,place-brico,65485807.64472423,1672
24,Green,place-brkhl,34387502.8578886,2086
25,Green,place-brmnl,694564797.1344081,38146
26,Green,place-bucen,35426430.03682768,372
27,Green,place-buest,23075442.630340487,86
28,Green,place-bvmnl,74819605.18507108,3901
29,Green,place-chhil,30829869.109008845,751
30,Green,place-chill,22209852.4367237,170
31,Green,place-chswk,7611403.72324971,274
32,Green,place-clmnl,63545694.79380545,485
33,Green,place-coecl,396556311.1700829,30977
34,Green,place-cool,65573791.44083685,2327
35,Green,place-denrd,3674208.5799569148,40
36,Green,place-eliot,4974114.833521678,205
37,Green,place-engav,29192652.610760447,183
38,Green,place-esomr,44547802.91573239,4143
39,Green,place-fbkst,6359664.987323493,175
40,Green,place-fenwd,177219720.92731512,4146
41,Green,place-fenwy,116065241.20981385,4287
42,Green,place-gilmn,16106471.586360255,2351
43,Green,place-gover,1620735315.7533665,82042
44,Green,place-grigg,12299309.675859863,224
45,Green,place-haecl,158616774.82187316,7124
46,Green,place-harvd,31226775.776085712,1679
47,Green,place-hsmnl,43446223.07531137,6910
48,Green,place-hwsst,35864827.22004582,560
49,Green,place-hymnl,81088889.52370794,3743
50,Green,place-kencl,51578128.60135614,1618
51,Green,place-kntst,12099069.005469725,127
52,Green,place-lake,80154914.36159267,4195
