route_id,parent_station,avg_median_inc
Blue,place-aport,64284
Blue,place-aqucl,72473.9090909091
Blue,place-bmmnl,34563.25
Blue,place-bomnl,76260.3846153846
Blue,place-gover,75516.4285714286
Blue,place-mvbcl,66770
Blue,place-orhte,40905.5
Blue,place-rbmnl,38449.6666666667
Blue,place-sdmnl,37174
Blue,place-state,76649.125
Blue,place-wimnl,74342.6
Blue,place-wondl,38253
Green,place-alsgr,48198.2666666667
Green,place-amory,36813.9166666667
Green,place-armnl,83652.1333333333
Green,place-babck,37321
Green,place-balsq,58198.8888888889
Green,place-bckhl,50597.8
Green,place-bcnfd,63120.8571428571
Green,place-bcnwa,59059.5
Green,place-bland,34341.6666666667
Green,place-bndhl,71388.5714285714
Green,place-boyls,71416.9333333333
Green,place-brico,41437.8181818182
Green,place-brkhl,74053.8333333333
Green,place-brmnl,33674.3
Green,place-bucen,29145.3333333333
Green,place-buest,34252.1
Green,place-bvmnl,55180.75
Green,place-chhil,48031.6666666667
Green,place-chill,55410.1428571429
Green,place-chswk,50553.7
Green,place-clmnl,52923
Green,place-coecl,92250.7272727273
Green,place-cool,65188.7
Green,place-denrd,58508.4545454545
Green,place-eliot,94737.6666666667
Green,place-engav,60645
Green,place-esomr,58771.6666666667
Green,place-fbkst,67096.75
Green,place-fenwd,36618.6666666667
Green,place-fenwy,32512.4444444444
Green,place-gilmn,56411.8181818182
Green,place-gover,75516.4285714286
Green,place-grigg,49263.0833333333
Green,place-haecl,76748.1875
Green,place-harvd,49929.6666666667
Green,place-hsmnl,51078.125
Green,place-hwsst,29149.7777777778
Green,place-hymnl,52546.2
Green,place-kencl,43713.9090909091
Green,place-kntst,39378.6
Green,place-lake,43743
Green,place-lech,68554.8888888889
Green,place-lngmd,27013
Green,place-longw,37814.7142857143
Green,place-mdftf,48146.5714285714
Green,place-mfa,27858.0769230769
Green,place-mgngl,65164
Green,place-mispk,49161
Green,place-newtn,74707.75
Green,place-newto,69626.5
Green,place-north,75709.6428571429
Green,place-nuniv,33293.625
Green,place-pktrm,69838.6923076923
Green,place-prmnl,60964.2777777778
Green,place-river,38474
Green,place-rsmnl,55410.1428571429
Green,place-rvrwy,53407.2222222222
Green,place-smary,27074.625
Green,place-sougr,54168.6
Green,place-spmnl,78132.625
Green,place-sthld,49990
Green,place-stpul,59958.875
Green,place-sumav,66083.2222222222
Green,place-symcl,48955.8421052632
Green,place-tapst,56578
Green,place-unsqu,56434.2
Green,place-waban,110111.333333333
Green,place-wascm,55868.5
Green,place-woodl,91786
Green,place-wrnst,49074.0666666667
Mattapan,place-asmnl,50387.6666666667
Mattapan,place-butlr,65993.25
Mattapan,place-capst,52748.6666666667
Mattapan,place-cedgr,63124.2
Mattapan,place-cenav,59163.4
Mattapan,place-matt,43794.1428571429
Mattapan,place-miltt,65993.25
Mattapan,place-valrd,63201
Orange,place-astao,63423.5
Orange,place-bbsta,77829.9375
Orange,place-ccmnl,77995
Orange,place-chncl,69552.5
Orange,place-dwnxg,69524.0909090909
Orange,place-forhl,47766.5
Orange,place-grnst,62319.375
Orange,place-haecl,76748.1875
Orange,place-jaksn,40806.0714285714
Orange,place-masta,47722.6315789474
Orange,place-mlmnl,51306
Orange,place-north,75709.6428571429
Orange,place-ogmnl,53516.4285714286
Orange,place-rcmnl,22514.5384615385
Orange,place-rugg,21940.8181818182
Orange,place-sbmnl,46980.6
Orange,place-state,76649.125
Orange,place-sull,58581.8333333333
Orange,place-tumnl,68920.4166666667
Orange,place-welln,64701.6666666667
Red,place-alfcl,71431.1666666667
Red,place-andrw,47706.2857142857
Red,place-asmnl,50387.6666666667
Red,place-brdwy,75772.5454545455
Red,place-brntn,59963.2
Red,place-chmnl,75520.3636363636
Red,place-cntsq,59873.6666666667
Red,place-davis,67781.2727272727
Red,place-dwnxg,69524.0909090909
Red,place-fldcr,36592.1666666667
Red,place-harsq,46368.625
Red,place-jfk,41856.1666666667
Red,place-knncl,49590.5
Red,place-nqncy,47865
Red,place-pktrm,69838.6923076923
Red,place-portr,69879.6363636364
Red,place-qamnl,52731.5
Red,place-qnctr,47086.3333333333
Red,place-shmnl,41092.8333333333
Red,place-smmnl,37052.7142857143
Red,place-sstat,68218.9
Red,place-wlsta,47184
