route_id,parent_station,total_HH_no_vehicle,total_HH_one_vehicle,total_HH_two_vehicle,total_HH_three_vehicle,total_HH_four_vehicle,total_HH
Blue,place-aport,3015,4033,1073,182,114,8417
Blue,place-aqucl,6840,5837,1392,95,25,14189
Blue,place-bmmnl,1945,3837,2131,434,112,8459
Blue,place-bomnl,10254,6566,1236,161,22,18239
Blue,place-gover,10454,7069,1333,161,27,19044
Blue,place-mvbcl,4049,5764,1668,71,47,11599
Blue,place-orhte,865,1973,1553,202,46,4639
Blue,place-rbmnl,2066,5158,2810,719,153,10906
Blue,place-sdmnl,1312,2583,1789,241,112,6037
Blue,place-state,12745,8394,1644,206,27,23016
Blue,place-wimnl,2141,3467,1124,50,56,6838
Blue,place-wondl,1362,3580,1801,478,64,7285
Green,place-alsgr,9748,9314,2994,662,274,22992
Green,place-amory,6490,6708,2087,223,104,15612
Green,place-armnl,10165,9586,1951,279,67,22048
Green,place-babck,4514,4211,1312,151,24,10212
Green,place-balsq,2446,6617,4171,770,233,14237
Green,place-bckhl,6157,7354,1774,283,47,15615
Green,place-bcnfd,3554,4789,2516,434,112,11405
Green,place-bcnwa,7079,7686,2501,443,137,17846
Green,place-bland,4798,3817,678,96,21,9410
Green,place-bndhl,4581,6011,2105,286,63,13046
Green,place-boyls,11316,7926,1446,200,42,20930
Green,place-brico,6927,6296,2004,156,109,15492
Green,place-brkhl,2761,5668,2467,449,39,11384
Green,place-brmnl,6548,5894,1190,281,47,13960
Green,place-bucen,4749,4916,1470,155,101,11391
Green,place-buest,6260,5882,1337,164,91,13734
Green,place-bvmnl,4895,6103,1497,216,35,12746
Green,place-chhil,318,1046,1348,355,62,3129
Green,place-chill,4106,5388,2317,474,145,12430
Green,place-chswk,5412,6911,2874,572,206,15975
Green,place-clmnl,4646,5714,2488,482,187,13517
Green,place-coecl,7117,7238,1744,247,69,16415
Green,place-cool,6725,8863,2878,364,74,18904
Green,place-denrd,6873,7788,3150,558,149,18518
Green,place-eliot,196,1504,2321,700,127,4848
Green,place-engav,5356,6385,2948,558,149,15396
Green,place-esomr,2839,5110,1934,381,114,10378
Green,place-fbkst,5438,6875,2483,286,125,15207
Green,place-fenwd,6027,5645,1134,281,47,13134
Green,place-fenwy,7096,4877,860,124,21,12978
Green,place-gilmn,3286,8213,4085,827,180,16591
Green,place-gover,10454,7069,1333,161,27,19044
Green,place-grigg,7580,6724,2422,303,184,17213
Green,place-haecl,11030,8456,1773,199,31,21489
Green,place-harvd,7696,6776,2517,295,142,17426
Green,place-hsmnl,4853,6045,1511,505,10,12924
Green,place-hwsst,5573,5282,1370,102,46,12373
Green,place-hymnl,10418,7592,1564,236,64,19874
Green,place-kencl,8905,5322,980,122,23,15352
Green,place-kntst,6894,6932,1919,132,59,15936
Green,place-lake,1263,2763,2405,625,180,7236
Green,place-lech,5544,7047,1572,169,37,14369
Green,place-lngmd,8079,5108,683,249,22,14141
Green,place-longw,5294,5656,1326,129,46,12451
Green,place-mdftf,1661,5040,3684,769,406,11560
Green,place-mfa,9650,6250,1030,248,31,17209
Green,place-mgngl,3041,7895,4709,694,176,16515
Green,place-mispk,6301,7236,1657,262,47,15503
Green,place-newtn,369,2684,3625,724,182,7584
Green,place-newto,228,2243,3293,720,190,6674
Green,place-north,10111,7830,1813,127,10,19891
Green,place-nuniv,11447,7179,1270,170,64,20130
Green,place-pktrm,10224,5728,850,142,18,16962
Green,place-prmnl,11817,10171,2391,246,97,24722
Green,place-river,56,458,674,150,47,1385
Green,place-rsmnl,4106,5388,2317,474,145,12430
Green,place-rvrwy,5615,6778,1633,262,47,14335
Green,place-smary,4949,3881,700,96,21,9647
Green,place-sougr,4292,6910,4173,997,256,16628
Green,place-spmnl,6222,4210,483,43,2,10960
Green,place-sthld,6607,7387,2603,504,225,17326
Green,place-stpul,6126,7794,2328,291,59,16598
Green,place-sumav,6092,7825,2671,311,74,16973
Green,place-symcl,12332,9769,2228,230,107,24666
Green,place-tapst,7413,7581,2581,434,143,18152
Green,place-unsqu,4081,7278,2649,581,78,14667
Green,place-waban,263,1201,2626,774,96,4960
Green,place-wascm,7891,8623,2825,533,208,20080
Green,place-woodl,293,1132,2461,820,100,4806
Green,place-wrnst,9240,9788,3339,800,370,23537
Mattapan,place-asmnl,2596,4956,4149,1077,187,12965
Mattapan,place-butlr,1024,2972,3139,878,263,8276
Mattapan,place-capst,1149,2203,1559,637,215,5763
Mattapan,place-cedgr,1708,3559,3724,958,242,10191
Mattapan,place-cenav,1799,3919,3606,940,307,10571
Mattapan,place-matt,3129,5535,4236,1427,846,15173
Mattapan,place-miltt,1024,2972,3139,878,263,8276
Mattapan,place-valrd,374,1256,1092,575,171,3468
Orange,place-astao,1287,3018,1575,340,156,6376
Orange,place-bbsta,10416,10805,2314,290,95,23920
Orange,place-ccmnl,4948,7303,1959,178,47,14435
Orange,place-chncl,8139,5735,1152,172,25,15223
Orange,place-dwnxg,8161,4621,792,115,16,13705
Orange,place-forhl,1845,5005,1567,392,26,8835
Orange,place-grnst,2542,5834,2276,489,105,11246
Orange,place-haecl,11030,8456,1773,199,31,21489
Orange,place-jaksn,8459,8920,3058,801,84,21322
Orange,place-masta,12884,10526,2332,286,107,26135
Orange,place-mlmnl,2808,4967,3406,856,366,12403
Orange,place-north,10111,7830,1813,127,10,19891
Orange,place-ogmnl,2738,4949,3493,784,303,12267
Orange,place-rcmnl,8483,6308,1432,415,21,16659
Orange,place-rugg,5739,4142,973,240,34,11128
Orange,place-sbmnl,4621,7020,2600,553,77,14871
Orange,place-state,12745,8394,1644,206,27,23016
Orange,place-sull,1662,3861,1798,315,114,7750
Orange,place-tumnl,7429,6607,1323,122,51,15532
Orange,place-welln,914,4786,2164,520,241,8625
Red,place-alfcl,1714,5088,2334,186,173,9495
Red,place-andrw,3596,3822,1305,258,45,9026
Red,place-asmnl,2596,4956,4149,1077,187,12965
Red,place-brdwy,4802,6028,1288,125,46,12289
Red,place-brntn,625,2773,3703,1131,534,8766
Red,place-chmnl,8229,6355,1063,162,2,15811
Red,place-cntsq,6494,7073,2180,252,105,16104
Red,place-davis,3156,7801,4137,594,259,15947
Red,place-dwnxg,8161,4621,792,115,16,13705
Red,place-fldcr,2444,3835,2144,609,211,9243
Red,place-harsq,6321,6084,1782,226,89,14502
Red,place-jfk,3201,3717,1798,285,84,9085
Red,place-knncl,3205,3600,930,63,0,7798
Red,place-nqncy,1280,4507,3159,718,235,9899
Red,place-pktrm,10224,5728,850,142,18,16962
Red,place-portr,4520,8604,3342,526,173,17165
Red,place-qamnl,440,1768,1174,76,80,3538
Red,place-qnctr,1366,2542,1319,257,74,5558
Red,place-shmnl,2551,3881,1780,228,142,8582
Red,place-smmnl,3436,5804,4115,982,181,14518
Red,place-sstat,5918,4045,764,47,21,10795
Red,place-wlsta,1053,4030,2400,759,242,8484
