,route_id,parent_station,airbnb_count,airbnb_density
0,Blue,place-wondl,,
1,Blue,place-rbmnl,,
2,Blue,place-bmmnl,,
3,Blue,place-sdmnl,1.0,0.009952371506513218
4,Blue,place-orhte,30.0,0.13981166918130447
5,Blue,place-wimnl,15.0,0.08518547055853898
6,Blue,place-aport,49.0,0.19370145978033057
7,Blue,place-mvbcl,70.0,0.24964143768367256
8,Blue,place-aqucl,32.0,0.07929986359601905
9,Blue,place-state,115.0,0.699797185847755
10,Blue,place-gover,127.0,1.2822971914810946
11,Blue,place-bomnl,252.0,1.0569753843936367
12,Green,place-gover,102.0,0.766842382384548
13,Green,place-pktrm,171.0,1.2578797417674579
14,Green,place-boyls,181.0,1.1844451354433008
15,Green,place-armnl,185.0,0.9794739896594045
16,Green,place-coecl,115.0,0.6395259465236426
17,Green,place-hymnl,104.0,0.6984380385957004
18,Green,place-kencl,69.0,0.5625284024544562
19,Green,place-bland,24.0,0.4089322246851985
20,Green,place-buest,11.0,0.32080430352030215
21,Green,place-bucen,,
22,Green,place-amory,,
23,Green,place-babck,6.0,0.06031522620606165
24,Green,place-brico,8.0,0.07615601405920834
25,Green,place-harvd,28.0,0.22397251141732258
26,Green,place-grigg,26.0,0.33977987447706864
27,Green,place-alsgr,12.0,0.17938323850859925
28,Green,place-wrnst,33.0,0.22992199271472308
29,Green,place-wascm,50.0,0.46120078025388517
30,Green,place-sthld,22.0,0.31616789854765326
31,Green,place-chswk,34.0,0.4019012109930584
32,Green,place-chill,10.0,0.15735962272920503
33,Green,place-sougr,25.0,0.17739380687950337
34,Green,place-lake,2.0,0.006359155693987685
35,Green,place-smary,2.0,0.06344145054206882
36,Green,place-hwsst,,
37,Green,place-kntst,,
38,Green,place-stpul,,
39,Green,place-cool,,
40,Green,place-sumav,,
41,Green,place-bndhl,,
42,Green,place-fbkst,,
43,Green,place-bcnwa,,
44,Green,place-tapst,,
45,Green,place-denrd,,
46,Green,place-engav,1.0,0.0244681471538545
47,Green,place-clmnl,11.0,0.35857982368076957
48,Green,place-unsqu,31.0,0.11076947335210571
49,Green,place-lech,163.0,0.6788565798837044
50,Green,place-spmnl,58.0,0.30933841030250675
51,Green,place-north,106.0,0.6043519601961276
52,Green,place-haecl,84.0,0.5933882653510661
53,Green,place-fenwy,55.0,0.6149986719326315
54,Green,place-longw,11.0,0.0895951293207246
55,Green,place-bvmnl,,
56,Green,place-brkhl,,
57,Green,place-bcnfd,,
58,Green,place-rsmnl,,
59,Green,place-chhil,,
60,Green,place-newto,,
61,Green,place-newtn,,
62,Green,place-eliot,,
63,Green,place-waban,,
64,Green,place-woodl,,
65,Green,place-river,,
66,Green,place-mdftf,,
67,Green,place-balsq,,
68,Green,place-mgngl,,
69,Green,place-gilmn,,
70,Green,place-esomr,,
71,Green,place-prmnl,209.0,1.575057510170265
72,Green,place-symcl,171.0,1.4863401756776837
73,Green,place-nuniv,29.0,0.18659884441719168
74,Green,place-mfa,28.0,0.1775803783487296
75,Green,place-lngmd,13.0,0.1105465023380283
76,Green,place-brmnl,18.0,0.26970027815515946
77,Green,place-fenwd,27.0,0.43334308412179434
78,Green,place-mispk,11.0,0.18889693714535288
79,Green,place-rvrwy,2.0,0.06266913156476882
80,Green,place-bckhl,10.0,0.23495240132849368
81,Green,place-hsmnl,35.0,0.1881413187846939
82,Mattapan,place-asmnl,71.0,0.22792261341390166
83,Mattapan,place-cedgr,6.0,0.028702088147957782
84,Mattapan,place-butlr,,
85,Mattapan,place-miltt,9.0,0.0648883005542474
86,Mattapan,place-cenav,11.0,0.05837553844796906
87,Mattapan,place-valrd,,
88,Mattapan,place-capst,2.0,0.014334558117098687
89,Mattapan,place-matt,3.0,0.010472848845114645
90,Orange,place-ogmnl,,
91,Orange,place-mlmnl,,
92,Orange,place-welln,,
93,Orange,place-astao,,
94,Orange,place-sull,21.0,0.07741083767111528
95,Orange,place-ccmnl,90.0,0.26841592527236213
96,Orange,place-north,153.0,0.609816205666826
97,Orange,place-haecl,108.0,0.8139906089005283
98,Orange,place-state,63.0,0.34112588252395404
99,Orange,place-dwnxg,154.0,1.0380465476682523
100,Orange,place-chncl,106.0,0.8648249370460521
101,Orange,place-tumnl,204.0,1.019361132068219
102,Orange,place-bbsta,234.0,0.7757494553917248
103,Orange,place-masta,341.0,1.2371398552907726
104,Orange,place-rugg,36.0,0.1447682267394253
105,Orange,place-rcmnl,104.0,0.38008347884766164
106,Orange,place-jaksn,50.0,0.18115191660623003
107,Orange,place-sbmnl,57.0,0.2269757986116656
108,Orange,place-grnst,53.0,0.16370808679833246
109,Orange,place-forhl,25.0,0.06810938071016473
110,Red,place-alfcl,32.0,0.09639688768130134
111,Red,place-davis,44.0,0.11615496104642858
112,Red,place-portr,129.0,0.35239321701028564
113,Red,place-harsq,70.0,0.1819105013638632
114,Red,place-cntsq,286.0,0.7028446671162624
115,Red,place-knncl,97.0,0.3009656831583672
116,Red,place-chmnl,192.0,0.7321208313929687
117,Red,place-pktrm,154.0,0.8827212650161251
118,Red,place-dwnxg,196.0,1.532414661442809
119,Red,place-sstat,70.0,0.24909887474790893
120,Red,place-brdwy,83.0,0.2502564639827575
121,Red,place-andrw,59.0,0.16657439542014987
122,Red,place-jfk,71.0,0.22340329067188908
123,Red,place-shmnl,62.0,0.22495785166301271
124,Red,place-fldcr,46.0,0.15020372824968514
125,Red,place-smmnl,62.0,0.2351554983726433
126,Red,place-asmnl,49.0,0.1375155483891922
127,Red,place-nqncy,,
128,Red,place-wlsta,,
129,Red,place-qnctr,,
130,Red,place-qamnl,,
131,Red,place-brntn,,
