"route_id","parent_station","college_students"
"Blue","place-aport",0
"Blue","place-aqucl",0
"Blue","place-bmmnl",0
"Blue","place-bomnl",0
"Blue","place-gover",1826.75
"Blue","place-mvbcl",0
"Blue","place-orhte",0
"Blue","place-rbmnl",0
"Blue","place-sdmnl",0
"Blue","place-state",53.6666666666667
"Blue","place-wimnl",0
"Blue","place-wondl",0
"Green","place-alsgr",0
"Green","place-armnl",2969
"Green","place-babck",0
"Green","place-bckhl",0
"Green","place-bcnfd",0
"Green","place-bcnwa",0
"Green","place-bland",0
"Green","place-bndhl",0
"Green","place-boyls",2849
"Green","place-brico",0
"Green","place-brkhl",0
"Green","place-brmnl",0
"Green","place-bucen",45548
"Green","place-buest",0
"Green","place-buwst",0
"Green","place-bvmnl",0
"Green","place-chhil",0
"Green","place-chill",0
"Green","place-chswk",0
"Green","place-clmnl",0
"Green","place-coecl",0
"Green","place-cool",0
"Green","place-denrd",0
"Green","place-eliot",0
"Green","place-engav",0
"Green","place-fbkst",180
"Green","place-fenwd",0
"Green","place-fenwy",2178
"Green","place-gover",0
"Green","place-grigg",0
"Green","place-haecl",53.6666666666667
"Green","place-harvd",0
"Green","place-hsmnl",0
"Green","place-hwsst",0
"Green","place-hymnl",6349
"Green","place-kencl",0
"Green","place-kntst",0
"Green","place-lake",16715
"Green","place-lech",1653
"Green","place-lngmd",16037
"Green","place-longw",0
"Green","place-mfa",2385
"Green","place-mispk",0
"Green","place-newtn",0
"Green","place-newto",234
"Green","place-north",0
"Green","place-nuniv",25552.5
"Green","place-pktrm",1826.75
"Green","place-plsgr",0
"Green","place-prmnl",0
"Green","place-river",0
"Green","place-rsmnl",0
"Green","place-rvrwy",0
"Green","place-smary",0
"Green","place-sougr",0
"Green","place-spmnl",0
"Green","place-sthld",0
"Green","place-stplb",0
"Green","place-stpul",0
"Green","place-sumav",0
"Green","place-symcl",439
"Green","place-tapst",0
"Green","place-waban",0
"Green","place-wascm",0
"Green","place-woodl",0
"Green","place-wrnst",0
"Mattapan","place-asmnl",0
"Mattapan","place-butlr",0
"Mattapan","place-capst",0
"Mattapan","place-cedgr",0
"Mattapan","place-cenav",0
"Mattapan","place-matt",0
"Mattapan","place-miltt",0
"Mattapan","place-valrd",0
"Orange","place-astao",460
"Orange","place-bbsta",491
"Orange","place-ccmnl",14147
"Orange","place-chncl",2494
"Orange","place-dwnxg",1826.75
"Orange","place-forhl",0
"Orange","place-grnst",0
"Orange","place-haecl",53.6666666666667
"Orange","place-jaksn",0
"Orange","place-masta",5293
"Orange","place-mlmnl",446
"Orange","place-north",0
"Orange","place-ogmnl",0
"Orange","place-rcmnl",2106
"Orange","place-rugg",27937.5
"Orange","place-sbmnl",0
"Orange","place-state",0
"Orange","place-sull",3131
"Orange","place-tumnl",355
"Orange","place-welln",0
"Red","place-alfcl",0
"Red","place-andrw",0
"Red","place-asmnl",0
"Red","place-brdwy",0
"Red","place-brntn",0
"Red","place-chmnl",0
"Red","place-cntsq",0
"Red","place-davis",0
"Red","place-dwnxg",0
"Red","place-fldcr",522
"Red","place-harsq",37940
"Red","place-jfk",0
"Red","place-knncl",12829
"Red","place-nqncy",0
"Red","place-pktrm",4675.75
"Red","place-portr",0
"Red","place-qamnl",0
"Red","place-qnctr",4474
"Red","place-shmnl",0
"Red","place-smmnl",0
"Red","place-sstat",0
"Red","place-wlsta",0
