"route_id","parent_station","walk_poly_wkt"
"Blue","place-wondl","POLYGON ((-70.99617 42.41447, -70.99505 42.41863, -70.99501 42.4188, -70.99392 42.41926, -70.99176 42.41994, -70.99016 42.42021, -70.98997 42.42023, -70.98993 42.42021, -70.98723 42.41891, -70.98685 42.41867, -70.9868 42.41858, -70.98685 42.41849, -70.9884 42.41553, -70.98886 42.41454, -70.99034 42.41118, -70.99058 42.41, -70.99865 42.41131, -70.99617 42.41447))"
"Blue","place-rbmnl","POLYGON ((-70.99954 42.40318, -70.99977 42.40345, -71.00073 42.4063, -71.00111 42.40919, -71.00111 42.40955, -71.00069 42.41004, -70.99922 42.41059, -70.99839 42.41127, -70.99071 42.41002, -70.99077 42.40983, -70.9911 42.40849, -70.99112 42.40831, -70.99119 42.40783, -70.98929 42.40343, -70.99748 42.40183, -70.99954 42.40318))"
"Blue","place-bmmnl","POLYGON ((-70.99725 42.39757, -70.99948 42.39782, -70.99972 42.39808, -71.00016 42.4013, -70.98881 42.40352, -70.98535 42.40196, -70.98485 42.40171, -70.98449 42.40095, -70.98409 42.39714, -70.98373 42.39464, -70.98375 42.39419, -70.98385 42.39384, -70.98427 42.39323, -70.98478 42.39328, -70.9869 42.39345, -70.98986 42.3927, -70.99638 42.39526, -70.99725 42.39757))"
"Blue","place-sdmnl","POLYGON ((-70.99003 42.39254, -70.99025 42.39161, -70.99176 42.3897, -70.9964 42.38841, -70.99974 42.38756, -71.00245 42.39086, -71.00143 42.3917, -70.99943 42.39132, -70.99443 42.39369, -70.9941 42.39426, -70.99405 42.39435, -70.99023 42.39284, -70.99003 42.39254))"
"Blue","place-orhte","POLYGON ((-70.99814 42.38375, -70.99826 42.38341, -71 42.38247, -71.00015 42.38245, -71.00018 42.38246, -71.00229 42.38348, -71.00534 42.38424, -71.0112 42.38304, -71.01176 42.38308, -71.01316 42.3843, -71.0132 42.38436, -71.01331 42.3847, -71.0118 42.38986, -71.01158 42.39015, -71.01096 42.39047, -71.00732 42.39093, -71.00653 42.39081, -71.00269 42.39116, -70.99774 42.38513, -70.99814 42.38375))"
"Blue","place-wimnl","POLYGON ((-71.02918 42.38153, -71.0291 42.38158, -71.02886 42.38173, -71.0285 42.38179, -71.02792 42.38187, -71.024 42.38286, -71.02038 42.38503, -71.01715 42.38324, -71.01483 42.38193, -71.01462 42.38164, -71.01483 42.38148, -71.01962 42.37804, -71.02441 42.37512, -71.02983 42.37938, -71.02918 42.38153))"
"Blue","place-aport","POLYGON ((-71.03809 42.37532, -71.03807 42.37547, -71.03718 42.37733, -71.03633 42.37913, -71.03592 42.37981, -71.03563 42.38001, -71.03314 42.38032, -71.03119 42.38046, -71.02335 42.37428, -71.02543 42.37016, -71.02564 42.36986, -71.02726 42.36862, -71.02751 42.36855, -71.02864 42.36832, -71.0305 42.36855, -71.03803 42.37473, -71.03809 42.37532))"
"Blue","place-mvbcl","POLYGON ((-71.04427 42.36973, -71.04672 42.37141, -71.04811 42.37181, -71.04801 42.37215, -71.04464 42.37309, -71.04143 42.37501, -71.04055 42.37569, -71.04051 42.37573, -71.04022 42.37593, -71.04015 42.37598, -71.03978 42.37616, -71.03156 42.36942, -71.03126 42.367, -71.03157 42.3656, -71.03171 42.36527, -71.0331 42.36482, -71.03601 42.3641, -71.0363 42.36404, -71.03763 42.36473, -71.04005 42.36276, -71.04385 42.36478, -71.04427 42.36973))"
"Blue","place-aqucl","POLYGON ((-71.04215 42.36216, -71.04062 42.36178, -71.03908 42.36141, -71.03592 42.35787, -71.03427 42.35682, -71.03176 42.35555, -71.02924 42.35428, -71.02541 42.35087, -71.02557 42.35055, -71.02809 42.35182, -71.03062 42.35308, -71.03413 42.35256, -71.03572 42.3536, -71.03732 42.35465, -71.03794 42.35535, -71.03852 42.35601, -71.04408 42.35587, -71.04894 42.35332, -71.04931 42.35325, -71.0513 42.353, -71.05352 42.3664, -71.05166 42.367, -71.05035 42.36824, -71.04503 42.36541, -71.04215 42.36216))"
"Blue","place-state","POLYGON ((-71.05207 42.35301, -71.05292 42.35276, -71.05305 42.35273, -71.05543 42.35229, -71.05815 42.352, -71.05953 42.35219, -71.06158 42.35253, -71.05431 42.36515, -71.05327 42.36488, -71.05137 42.35342, -71.05207 42.35301))"
