"route_id","parent_station","hospitals","hospital_capacity"
"Blue","place-aport",0,0
"Blue","place-aqucl",0,0
"Blue","place-bmmnl",0,0
"Blue","place-bomnl",5,110
"Blue","place-gover",0,0
"Blue","place-mvbcl",0,0
"Blue","place-orhte",0,0
"Blue","place-rbmnl",0,0
"Blue","place-sdmnl",0,0
"Blue","place-state",0,0
"Blue","place-wimnl",0,0
"Blue","place-wondl",0,0
"Green","place-alsgr",0,0
"Green","place-armnl",0,0
"Green","place-babck",0,0
"Green","place-bckhl",0,0
"Green","place-bcnfd",0,0
"Green","place-bcnwa",0,0
"Green","place-bland",1,0
"Green","place-bndhl",0,0
"Green","place-boyls",1,0
"Green","place-brico",0,0
"Green","place-brkhl",0,0
"Green","place-brmnl",2,160
"Green","place-bucen",0,0
"Green","place-buest",0,0
"Green","place-buwst",0,0
"Green","place-bvmnl",0,0
"Green","place-chhil",0,0
"Green","place-chill",0,0
"Green","place-chswk",0,0
"Green","place-clmnl",0,0
"Green","place-coecl",1,0
"Green","place-cool",0,0
"Green","place-denrd",0,0
"Green","place-eliot",0,0
"Green","place-engav",0,0
"Green","place-fbkst",0,0
"Green","place-fenwd",1,160
"Green","place-fenwy",0,0
"Green","place-gover",0,0
"Green","place-grigg",0,0
"Green","place-haecl",0,0
"Green","place-harvd",0,0
"Green","place-hsmnl",2,0
"Green","place-hwsst",0,0
"Green","place-hymnl",0,0
"Green","place-kencl",0,0
"Green","place-kntst",0,0
"Green","place-lake",0,0
"Green","place-lech",0,0
"Green","place-lngmd",0,0
"Green","place-longw",2,140
"Green","place-mfa",0,0
"Green","place-mispk",0,0
"Green","place-newtn",0,0
"Green","place-newto",0,0
"Green","place-north",2,0
"Green","place-nuniv",0,0
"Green","place-pktrm",0,0
"Green","place-plsgr",0,0
"Green","place-prmnl",0,0
"Green","place-river",0,0
"Green","place-rsmnl",0,0
"Green","place-rvrwy",0,0
"Green","place-smary",0,0
"Green","place-sougr",0,0
"Green","place-spmnl",4,110
"Green","place-sthld",0,0
"Green","place-stplb",0,0
"Green","place-stpul",0,0
"Green","place-sumav",0,0
"Green","place-symcl",0,0
"Green","place-tapst",0,0
"Green","place-waban",0,0
"Green","place-wascm",0,0
"Green","place-woodl",0,0
"Green","place-wrnst",2,90
"Mattapan","place-asmnl",0,0
"Mattapan","place-butlr",1,80
"Mattapan","place-capst",0,0
"Mattapan","place-cedgr",0,0
"Mattapan","place-cenav",0,0
"Mattapan","place-matt",0,0
"Mattapan","place-miltt",0,0
"Mattapan","place-valrd",0,0
"Orange","place-astao",0,0
"Orange","place-bbsta",1,0
"Orange","place-ccmnl",0,0
"Orange","place-chncl",0,0
"Orange","place-dwnxg",0,0
"Orange","place-forhl",0,0
"Orange","place-grnst",0,0
"Orange","place-haecl",0,0
"Orange","place-jaksn",0,0
"Orange","place-masta",0,0
"Orange","place-mlmnl",0,0
"Orange","place-north",4,0
"Orange","place-ogmnl",0,0
"Orange","place-rcmnl",0,0
"Orange","place-rugg",0,0
"Orange","place-sbmnl",0,0
"Orange","place-state",0,0
"Orange","place-sull",0,0
"Orange","place-tumnl",1,0
"Orange","place-welln",0,0
"Red","place-alfcl",0,0
"Red","place-andrw",0,0
"Red","place-asmnl",1,80
"Red","place-brdwy",0,0
"Red","place-brntn",0,0
"Red","place-chmnl",4,110
"Red","place-cntsq",0,0
"Red","place-davis",0,0
"Red","place-dwnxg",1,0
"Red","place-fldcr",0,0
"Red","place-harsq",0,0
"Red","place-jfk",0,0
"Red","place-knncl",0,0
"Red","place-nqncy",0,0
"Red","place-pktrm",0,0
"Red","place-portr",0,0
"Red","place-qamnl",0,0
"Red","place-qnctr",0,0
"Red","place-shmnl",0,0
"Red","place-smmnl",0,0
"Red","place-sstat",0,0
"Red","place-wlsta",0,0
