"route_id","parent_station","hotels"
"Blue","place-aport",1
"Blue","place-aqucl",4
"Blue","place-bmmnl",0
"Blue","place-bomnl",7
"Blue","place-gover",4
"Blue","place-mvbcl",0
"Blue","place-orhte",0
"Blue","place-rbmnl",0
"Blue","place-sdmnl",0
"Blue","place-state",9
"Blue","place-wimnl",0
"Blue","place-wondl",0
"Green","place-alsgr",0
"Green","place-armnl",7
"Green","place-babck",0
"Green","place-bckhl",1
"Green","place-bcnfd",0
"Green","place-bcnwa",0
"Green","place-bland",1
"Green","place-bndhl",0
"Green","place-boyls",6
"Green","place-brico",0
"Green","place-brkhl",0
"Green","place-brmnl",0
"Green","place-bucen",0
"Green","place-buest",0
"Green","place-buwst",0
"Green","place-bvmnl",0
"Green","place-chhil",0
"Green","place-chill",0
"Green","place-chswk",0
"Green","place-clmnl",0
"Green","place-coecl",8
"Green","place-cool",0
"Green","place-denrd",0
"Green","place-eliot",0
"Green","place-engav",0
"Green","place-fbkst",0
"Green","place-fenwd",0
"Green","place-fenwy",0
"Green","place-gover",5
"Green","place-grigg",0
"Green","place-haecl",3
"Green","place-harvd",0
"Green","place-hsmnl",0
"Green","place-hwsst",0
"Green","place-hymnl",4
"Green","place-kencl",2
"Green","place-kntst",0
"Green","place-lake",0
"Green","place-lech",0
"Green","place-lngmd",0
"Green","place-longw",1
"Green","place-mfa",0
"Green","place-mispk",0
"Green","place-newtn",0
"Green","place-newto",0
"Green","place-north",6
"Green","place-nuniv",0
"Green","place-pktrm",4
"Green","place-plsgr",0
"Green","place-prmnl",6
"Green","place-river",0
"Green","place-rsmnl",1
"Green","place-rvrwy",0
"Green","place-smary",0
"Green","place-sougr",0
"Green","place-spmnl",2
"Green","place-sthld",0
"Green","place-stplb",0
"Green","place-stpul",0
"Green","place-sumav",0
"Green","place-symcl",1
"Green","place-tapst",0
"Green","place-waban",0
"Green","place-wascm",0
"Green","place-woodl",0
"Green","place-wrnst",0
"Mattapan","place-asmnl",0
"Mattapan","place-butlr",0
"Mattapan","place-capst",0
"Mattapan","place-cedgr",0
"Mattapan","place-cenav",0
"Mattapan","place-matt",0
"Mattapan","place-miltt",0
"Mattapan","place-valrd",0
"Orange","place-astao",0
"Orange","place-bbsta",13
"Orange","place-ccmnl",0
"Orange","place-chncl",1
"Orange","place-dwnxg",5
"Orange","place-forhl",0
"Orange","place-grnst",0
"Orange","place-haecl",1
"Orange","place-jaksn",0
"Orange","place-masta",8
"Orange","place-mlmnl",0
"Orange","place-north",7
"Orange","place-ogmnl",0
"Orange","place-rcmnl",0
"Orange","place-rugg",1
"Orange","place-sbmnl",0
"Orange","place-state",8
"Orange","place-sull",0
"Orange","place-tumnl",7
"Orange","place-welln",0
"Red","place-alfcl",0
"Red","place-andrw",3
"Red","place-asmnl",0
"Red","place-brdwy",3
"Red","place-brntn",0
"Red","place-chmnl",3
"Red","place-cntsq",0
"Red","place-davis",0
"Red","place-dwnxg",7
"Red","place-fldcr",0
"Red","place-harsq",0
"Red","place-jfk",1
"Red","place-knncl",0
"Red","place-nqncy",0
"Red","place-pktrm",5
"Red","place-portr",0
"Red","place-qamnl",0
"Red","place-qnctr",0
"Red","place-shmnl",0
"Red","place-smmnl",0
"Red","place-sstat",5
"Red","place-wlsta",0
