"season","route_id","parent_station","avg_boardings_wkdy","avg_boardings_wknd","avg_alightings_wkdy","avg_alightings_wknd","avg_boardings_am_peak","avg_boardings_off_peak","avg_boardings_pm_peak","avg_alightings_am_peak","avg_alightings_off_peak","avg_alightings_pm_peak","avg_boardings","avg_alightings"
"Fall 2019","Blue","place-aport",8326.07792207792,5564.75,7261.37662337662,4648.25,1809.02597402597,5356.50649350649,1160.54545454545,503.766233766234,4853.46753246753,1904.14285714286,7756.73195876289,6722.58762886598
"Fall 2019","Blue","place-aqucl",5063.94805194805,3667.15,4993.1038961039,3323.9,156.727272727273,2998.77922077922,1908.44155844156,1783.75324675325,2641.62337662338,567.727272727273,4775.94845360825,4648.9381443299
"Fall 2019","Blue","place-bmmnl",3597.01298701299,1775.55,3692.06493506494,1931.6,1339.87012987013,1970.22077922078,286.922077922078,85.1428571428571,2213.28571428571,1393.63636363636,3221.45360824742,3329.0824742268
"Fall 2019","Blue","place-bomnl",2424.45454545455,650.4,2345.80519480519,794.15,61.9090909090909,1305.03896103896,1057.50649350649,894.883116883117,1311.07792207792,139.844155844156,2058.67010309278,2025.87628865979
"Fall 2019","Blue","place-gover",13827.4675324675,9191.4,11937.8051948052,7768.85,431.272727272727,9081.7012987013,4314.49350649351,3540.45454545455,7121.16883116883,1276.18181818182,12871.5773195876,11078.2268041237
"Fall 2019","Blue","place-mvbcl",12272.3116883117,7205.55,13195.2727272727,8001.9,3394.20779220779,7320.02597402597,1558.07792207792,650.285714285714,8727.06493506493,3817.92207792208,11227.618556701,12124.4742268041
"Fall 2019","Blue","place-orhte",4882.8051948052,2526.15,3806.19480519481,2147.8,1682.1038961039,2739.87012987013,460.831168831169,127.220779220779,2401.27272727273,1277.7012987013,4396.89690721649,3464.25773195876
"Fall 2019","Blue","place-rbmnl",3336.16883116883,2000.3,3744.75324675325,2453.1,889.714285714286,2111.01298701299,335.441558441558,153.207792207792,2597.01298701299,994.532467532468,3060.73195876289,3478.43298969072
"Fall 2019","Blue","place-sdmnl",815.974025974026,461.6,861.571428571429,507.8,231.324675324675,503.064935064935,81.5844155844156,23.2597402597403,550.116883116883,288.194805194805,742.907216494845,788.628865979381
"Fall 2019","Blue","place-state",15011.3116883117,6449.25,17789.5974025974,7640.75,633.311688311688,9146.87012987013,5231.12987012987,5643.84415584416,10009.5584415584,2136.19480519481,13245.9381443299,15697.0515463918
