"route_id","parent_station","walk_poly_wkt"
"Red","place-alfcl","POLYGON ((-71.15022 42.39581, -71.14831 42.3943, -71.14783 42.39406, -71.14353 42.38997, -71.14316 42.3892, -71.14307 42.38915, -71.14306 42.38915, -71.14304 42.38914, -71.14238 42.38926, -71.14131 42.3895, -71.13849 42.39028, -71.13635 42.39138, -71.13375 42.39279, -71.13319 42.3933, -71.13145 42.39561, -71.13145 42.39566, -71.13146 42.39596, -71.13146 42.39602, -71.13379 42.39819, -71.13502 42.39901, -71.13693 42.40017, -71.14194 42.40064, -71.14544 42.40188, -71.14576 42.40171, -71.148 42.39958, -71.1502 42.39617, -71.15022 42.39581))"
"Red","place-davis","POLYGON ((-71.13148 42.39797, -71.1315 42.39761, -71.13134 42.39701, -71.12965 42.39295, -71.12962 42.39288, -71.12937 42.39262, -71.1293 42.39256, -71.12778 42.39156, -71.12612 42.39102, -71.1223 42.39059, -71.12174 42.39053, -71.11874 42.3903, -71.11792 42.39033, -71.11791 42.39034, -71.11397 42.39274, -71.11242 42.39418, -71.11234 42.39453, -71.11285 42.39521, -71.11352 42.3962, -71.11462 42.40101, -71.11538 42.4021, -71.11678 42.40299, -71.12023 42.40288, -71.12256 42.40282, -71.12677 42.40298, -71.12705 42.40296, -71.13019 42.3997, -71.13135 42.39854, -71.13148 42.39797))"
"Red","place-portr","POLYGON ((-71.1285 42.38937, -71.12838 42.38595, -71.12824 42.38562, -71.12821 42.38557, -71.12404 42.38316, -71.12218 42.38221, -71.12073 42.38146, -71.11994 42.38106, -71.11958 42.38102, -71.11948 42.38102, -71.11543 42.38235, -71.11277 42.38316, -71.11268 42.3832, -71.11106 42.38401, -71.11096 42.38436, -71.11201 42.38951, -71.1121 42.39077, -71.11327 42.39353, -71.11369 42.39436, -71.11371 42.3944, -71.11379 42.39448, -71.11408 42.39456, -71.11408 42.39456, -71.11412 42.39457, -71.11669 42.3945, -71.12114 42.39458, -71.12125 42.39458, -71.12392 42.39434, -71.1259 42.39385, -71.12597 42.39378, -71.12622 42.39351, -71.12681 42.39276, -71.12689 42.39265, -71.12844 42.38973, -71.1285 42.38937))"
"Red","place-harsq","POLYGON ((-71.12814 42.37438, -71.12758 42.37355, -71.12539 42.36894, -71.12466 42.36761, -71.12441 42.36736, -71.12426 42.36738, -71.12326 42.36751, -71.12278 42.36759, -71.11841 42.36798, -71.11655 42.36778, -71.11347 42.36838, -71.11135 42.3692, -71.11 42.37073, -71.10985 42.37116, -71.1114 42.37521, -71.11145 42.37534, -71.11211 42.3769, -71.11222 42.37714, -71.11226 42.37721, -71.11233 42.37727, -71.11311 42.37768, -71.11427 42.37828, -71.11428 42.37829, -71.11649 42.37912, -71.11767 42.37952, -71.12013 42.38024, -71.12021 42.38023, -71.12418 42.37879, -71.12521 42.37839, -71.12707 42.37677, -71.12811 42.37474, -71.12814 42.37438))"
"Red","place-cntsq","POLYGON ((-71.11372 42.36474, -71.11373 42.36468, -71.1137 42.36432, -71.11289 42.3623, -71.11028 42.35968, -71.11022 42.35965, -71.10543 42.35966, -71.10536 42.35966, -71.10529 42.35966, -71.10476 42.35969, -71.10205 42.35985, -71.10187 42.35987, -71.10103 42.35997, -71.09602 42.36057, -71.096 42.36058, -71.09579 42.3608, -71.09452 42.36302, -71.09452 42.36303, -71.09462 42.36332, -71.0973 42.36849, -71.09892 42.37183, -71.09919 42.37207, -71.09927 42.37211, -71.10199 42.37173, -71.1064 42.37087, -71.11007 42.37035, -71.11015 42.37034, -71.11221 42.36995, -71.11233 42.36961, -71.11372 42.36474))"
"Red","place-knncl","POLYGON ((-71.09621 42.36335, -71.09624 42.36299, -71.09563 42.36099, -71.09523 42.36007, -71.09517 42.35998, -71.09403 42.35929, -71.08975 42.35777, -71.08954 42.3578, -71.08865 42.35809, -71.08852 42.35814, -71.08777 42.35839, -71.0868 42.35871, -71.08293 42.36003, -71.07982 42.36048, -71.07956 42.36051, -71.07933 42.36055, -71.07596 42.36125, -71.07594 42.36161, -71.07604 42.36188, -71.07874 42.36529, -71.08054 42.36785, -71.08085 42.36812, -71.08091 42.36814, -71.08558 42.36873, -71.09024 42.36771, -71.09036 42.36769, -71.09233 42.36715, -71.0924 42.36713, -71.09332 42.36649, -71.09494 42.36476, -71.09618 42.36344, -71.09621 42.36335))"
"Red","place-chmnl","POLYGON ((-71.0793 42.36187, -71.07934 42.36151, -71.07556 42.357, -71.07532 42.35673, -71.07317 42.35516, -71.07303 42.35512, -71.06982 42.35451, -71.06868 42.35448, -71.06822 42.35454, -71.06817 42.35456, -71.06749 42.35501, -71.06728 42.35524, -71.06384 42.35918, -71.06168 42.36071, -71.06148 42.36092, -71.06138 42.36127, -71.06203 42.36226, -71.06222 42.36256, -71.06664 42.36629, -71.06734 42.36694, -71.06764 42.36713, -71.06816 42.3672, -71.06879 42.36709, -71.07147 42.36483, -71.07284 42.36346, -71.07868 42.36245, -71.07873 42.36245, -71.07875 42.36245, -71.07879 42.36242, -71.07925 42.36213, -71.0793 42.36187))"
"Red","place-pktrm","POLYGON ((-71.07082 42.35401, -71.07071 42.35373, -71.06958 42.35194, -71.06545 42.34991, -71.0651 42.34981, -71.06129 42.35074, -71.05833 42.35099, -71.05697 42.35129, -71.05472 42.35209, -71.05456 42.35241, -71.0539 42.35771, -71.05405 42.35842, -71.05409 42.35849, -71.05563 42.3608, -71.05669 42.36185, -71.05691 42.36204, -71.05712 42.3621, -71.05802 42.36225, -71.06191 42.36271, -71.0625 42.36267, -71.06261 42.36266, -71.06327 42.36258, -71.06391 42.36249, -71.06392 42.36248, -71.06867 42.35906, -71.06947 42.35803, -71.07009 42.35715, -71.07082 42.35606, -71.07082 42.35401))"
"Red","place-dwnxg","POLYGON ((-71.06944 42.35612, -71.06941 42.35592, -71.06909 42.35434, -71.06909 42.35433, -71.06834 42.35229, -71.06424 42.34893, -71.06389 42.34873, -71.06387 42.34872, -71.05909 42.34895, -71.05746 42.34934, -71.05263 42.351, -71.05258 42.35103, -71.0525 42.35112, -71.05248 42.35116, -71.05233 42.35149, -71.05198 42.35638, -71.05191 42.35729, -71.05197 42.35862, -71.05197 42.35862, -71.05215 42.35889, -71.05306 42.35969, -71.05547 42.36131, -71.05567 42.3614, -71.05733 42.36198, -71.05764 42.36202, -71.05783 42.36204, -71.0582 42.36203, -71.06306 42.36153, -71.06537 42.36026, -71.06728 42.35906, -71.06809 42.3582, -71.06935 42.35642, -71.06944 42.35623, -71.06944 42.35612))"
"Red","place-sstat","POLYGON ((-71.06494 42.35223, -71.0636 42.3507, -71.06082 42.34757, -71.06047 42.34747, -71.05777 42.34887, -71.05409 42.34708, -71.0538 42.34687, -71.04909 42.34729, -71.04881 42.34736, -71.04666 42.34824, -71.04662 42.34832, -71.04647 42.34865, -71.04658 42.34889, -71.04707 42.34991, -71.04728 42.35057, -71.04734 42.35076, -71.04742 42.35275, -71.04373 42.35609, -71.0432 42.3561, -71.04321 42.35646, -71.04374 42.35645, -71.04426 42.35643, -71.04963 42.35759, -71.05145 42.35825, -71.05189 42.35836, -71.05644 42.35918, -71.05666 42.35918, -71.05732 42.35913, -71.06245 42.35702, -71.06294 42.35667, -71.0649 42.35266, -71.06494 42.35258, -71.06494 42.35223))"
"Red","place-brdwy","POLYGON ((-71.06581 42.3443, -71.0656 42.3437, -71.0653 42.34288, -71.06508 42.34259, -71.06372 42.3408, -71.06297 42.33981, -71.05886 42.33683, -71.05805 42.33559, -71.05712 42.33508, -71.05704 42.33508, -71.05571 42.33525, -71.05052 42.33716, -71.04943 42.33759, -71.04926 42.33775, -71.04893 42.34226, -71.04969 42.34547, -71.05021 42.34603, -71.05103 42.34678, -71.05275 42.3483, -71.053 42.34804, -71.05356 42.34749, -71.05692 42.34599, -71.06047 42.34749, -71.06082 42.34758, -71.06516 42.34566, -71.06536 42.34551, -71.06537 42.34549, -71.06586 42.34448, -71.06581 42.3443))"
