"route_id","parent_station","avg_headway_wkdy","avg_headway_wknd"
"Blue","place-aport",384,633
"Blue","place-aqucl",387,626
"Blue","place-bmmnl",381,636.5
"Blue","place-bomnl",387,626
"Blue","place-gover",387,626
"Blue","place-mvbcl",384,633
"Blue","place-orhte",381,629.5
"Blue","place-rbmnl",381,636.5
"Blue","place-sdmnl",381,636.5
"Blue","place-state",387,626
"Blue","place-wimnl",384,629.5
"Blue","place-wondl",381,636.5
"Green","place-alsgr",497,559
"Green","place-amory",497,559
"Green","place-armnl",125,151
"Green","place-babck",497,556.5
"Green","place-balsq",472,609.5
"Green","place-bckhl",461,591
"Green","place-bcnfd",505,642
"Green","place-bcnwa",543,616.5
"Green","place-bland",497,562
"Green","place-bndhl",543,613
"Green","place-boyls",125,151
"Green","place-brico",497,559
"Green","place-brkhl",505,639
"Green","place-brmnl",461,591
"Green","place-bucen",497,559
"Green","place-buest",497,559
"Green","place-bvmnl",505,639
"Green","place-chhil",505,639
"Green","place-chill",497,556
"Green","place-chswk",497,559
"Green","place-clmnl",543,619.5
"Green","place-coecl",125,150.5
"Green","place-cool",543,616.5
"Green","place-denrd",543,619.5
"Green","place-eliot",510,639
"Green","place-engav",543,619.5
"Green","place-esomr",468,609.5
"Green","place-fbkst",543,613
"Green","place-fenwd",461,591
"Green","place-fenwy",510,642
"Green","place-gilmn",468,609.5
"Green","place-gover",125,151
"Green","place-grigg",497,559
"Green","place-haecl",242,312
"Green","place-harvd",497,559
"Green","place-hsmnl",461,591
"Green","place-hwsst",543,619.5
"Green","place-hymnl",172,201
"Green","place-kencl",171,201.5
"Green","place-kntst",543,619.5
"Green","place-lake",492,556.5
"Green","place-lech",242,311
"Green","place-lngmd",461,591
"Green","place-longw",510,639
"Green","place-mdftf",472,609.5
"Green","place-mfa",457,594
"Green","place-mgngl",468,609.5
"Green","place-mispk",457,591
"Green","place-newtn",510,642
"Green","place-newto",505,642
"Green","place-north",243,312
"Green","place-nuniv",461,594
"Green","place-pktrm",125,151
"Green","place-prmnl",461,594
"Green","place-river",505,639
"Green","place-rsmnl",510,642
"Green","place-rvrwy",461,591
"Green","place-smary",543,619.5
"Green","place-sougr",497,556
"Green","place-spmnl",242,312
"Green","place-sthld",497,559
"Green","place-stpul",538,619.5
"Green","place-sumav",543,613
"Green","place-symcl",461,594
"Green","place-tapst",543,619.5
"Green","place-unsqu",510,646
"Green","place-waban",505,639
"Green","place-wascm",497,556.5
"Green","place-woodl",505,639
"Green","place-wrnst",497,556.5
"Mattapan","place-asmnl",450,753
"Mattapan","place-butlr",454,753
"Mattapan","place-capst",454,748
"Mattapan","place-cedgr",450,753
"Mattapan","place-cenav",454,753
"Mattapan","place-matt",454,748
"Mattapan","place-miltt",454,753
"Mattapan","place-valrd",454,748
"Orange","place-astao",543,716.5
"Orange","place-bbsta",543,711
"Orange","place-ccmnl",538,713
"Orange","place-chncl",538,711
"Orange","place-dwnxg",543,711
"Orange","place-forhl",543,711
"Orange","place-grnst",543,705.5
"Orange","place-haecl",543,711
"Orange","place-jaksn",543,702
"Orange","place-masta",543,705.5
"Orange","place-mlmnl",538,722
"Orange","place-north",543,711
"Orange","place-ogmnl",543,722
"Orange","place-rcmnl",543,705.5
"Orange","place-rugg",543,705.5
"Orange","place-sbmnl",543,702
"Orange","place-state",543,711
"Orange","place-sull",543,716.5
"Orange","place-tumnl",543,707.5
"Orange","place-welln",543,716.5
"Red","place-alfcl",484,588
"Red","place-andrw",488,573
"Red","place-asmnl",976,1152
"Red","place-brdwy",488,579
"Red","place-brntn",976,1152
"Red","place-chmnl",484,582
"Red","place-cntsq",484,582
"Red","place-davis",484,588
"Red","place-dwnxg",484,579
"Red","place-fldcr",976,1140.5
"Red","place-harsq",484,585
"Red","place-jfk",488,576
"Red","place-knncl",484,582
"Red","place-nqncy",976,1152
"Red","place-pktrm",484,579
"Red","place-portr",484,582
"Red","place-qamnl",993,1152
"Red","place-qnctr",993,1140.5
"Red","place-shmnl",976,1152
"Red","place-smmnl",976,1140.5
"Red","place-sstat",488,579
"Red","place-wlsta",976,1140.5
