"route_id","parent_station","pnr_spaces"
"Red","place-alfcl",2471
"Red","place-davis",0
"Red","place-portr",0
"Red","place-harsq",0
"Red","place-cntsq",0
"Red","place-knncl",0
"Red","place-chmnl",0
"Red","place-pktrm",0
"Red","place-dwnxg",0
"Red","place-sstat",0
"Red","place-brdwy",0
"Red","place-andrw",0
"Red","place-jfk",0
"Red","place-shmnl",18
"Red","place-fldcr",0
"Red","place-smmnl",0
"Red","place-asmnl",0
"Red","place-nqncy",1190
"Red","place-wlsta",535
"Red","place-qnctr",0
"Red","place-qamnl",2353
"Red","place-brntn",1197
"Mattapan","place-asmnl",0
"Mattapan","place-cedgr",0
"Mattapan","place-butlr",44
"Mattapan","place-miltt",37
"Mattapan","place-cenav",0
"Mattapan","place-valrd",0
"Mattapan","place-capst",0
"Mattapan","place-matt",209
"Orange","place-ogmnl",801
"Orange","place-mlmnl",844
"Orange","place-welln",2212
"Orange","place-astao",362
"Orange","place-sull",576
"Orange","place-ccmnl",0
"Orange","place-north",0
"Orange","place-haecl",0
"Orange","place-state",0
"Orange","place-dwnxg",0
"Orange","place-chncl",0
"Orange","place-tumnl",0
"Orange","place-bbsta",0
"Orange","place-masta",0
"Orange","place-rugg",0
"Orange","place-rcmnl",0
"Orange","place-jaksn",0
"Orange","place-sbmnl",0
"Orange","place-grnst",84
"Orange","place-forhl",430
"Green-B","place-gover",0
"Green-B","place-pktrm",0
"Green-B","place-boyls",0
"Green-B","place-armnl",0
"Green-B","place-coecl",0
"Green-B","place-hymnl",0
"Green-B","place-kencl",0
"Green-B","place-bland",0
"Green-B","place-buest",0
"Green-B","place-bucen",0
"Green-B","place-amory",0
"Green-B","place-babck",0
"Green-B","place-brico",0
"Green-B","place-harvd",0
"Green-B","place-grigg",0
"Green-B","place-alsgr",0
"Green-B","place-wrnst",0
"Green-B","place-wascm",0
"Green-B","place-sthld",0
"Green-B","place-chswk",0
"Green-B","place-chill",0
"Green-B","place-sougr",0
"Green-B","place-lake",0
"Green-C","place-gover",0
"Green-C","place-pktrm",0
"Green-C","place-boyls",0
"Green-C","place-armnl",0
"Green-C","place-coecl",0
"Green-C","place-hymnl",0
"Green-C","place-kencl",0
"Green-C","place-smary",0
"Green-C","place-hwsst",0
"Green-C","place-kntst",0
"Green-C","place-stpul",0
"Green-C","place-cool",0
"Green-C","place-sumav",0
"Green-C","place-bndhl",0
"Green-C","place-fbkst",0
"Green-C","place-bcnwa",0
"Green-C","place-tapst",0
"Green-C","place-denrd",0
"Green-C","place-engav",0
"Green-C","place-clmnl",0
"Green-D","place-unsqu",0
"Green-D","place-lech",0
"Green-D","place-spmnl",0
"Green-D","place-north",0
"Green-D","place-haecl",0
"Green-D","place-gover",0
"Green-D","place-pktrm",0
"Green-D","place-boyls",0
"Green-D","place-armnl",0
"Green-D","place-coecl",0
"Green-D","place-hymnl",0
"Green-D","place-kencl",0
"Green-D","place-fenwy",0
"Green-D","place-longw",0
"Green-D","place-bvmnl",0
"Green-D","place-brkhl",0
"Green-D","place-bcnfd",0
"Green-D","place-rsmnl",0
"Green-D","place-chhil",69
"Green-D","place-newto",0
"Green-D","place-newtn",0
"Green-D","place-eliot",52
"Green-D","place-waban",57
"Green-D","place-woodl",559
"Green-D","place-river",981
"Green-E","place-mdftf",0
"Green-E","place-balsq",0
"Green-E","place-mgngl",0
"Green-E","place-gilmn",0
"Green-E","place-esomr",0
"Green-E","place-lech",0
"Green-E","place-spmnl",0
"Green-E","place-north",0
"Green-E","place-haecl",0
"Green-E","place-gover",0
"Green-E","place-pktrm",0
"Green-E","place-boyls",0
"Green-E","place-armnl",0
"Green-E","place-coecl",0
"Green-E","place-prmnl",0
"Green-E","place-symcl",0
"Green-E","place-nuniv",0
"Green-E","place-mfa",0
"Green-E","place-lngmd",0
"Green-E","place-brmnl",0
"Green-E","place-fenwd",0
"Green-E","place-mispk",0
"Green-E","place-rvrwy",0
"Green-E","place-bckhl",0
"Green-E","place-hsmnl",0
"Blue","place-wondl",2286
"Blue","place-rbmnl",0
"Blue","place-bmmnl",416
"Blue","place-sdmnl",108
"Blue","place-orhte",411
"Blue","place-wimnl",95
"Blue","place-aport",0
"Blue","place-mvbcl",30
"Blue","place-aqucl",0
"Blue","place-state",0
"Blue","place-gover",0
"Blue","place-bomnl",0
