"route_id","parent_station","walk_score"
"Red","place-alfcl",79
"Red","place-davis",98
"Red","place-portr",98
"Red","place-harsq",98
"Red","place-cntsq",99
"Red","place-knncl",95
"Red","place-chmnl",98
"Red","place-pktrm",99
"Red","place-dwnxg",99
"Red","place-sstat",97
"Red","place-brdwy",93
"Red","place-andrw",89
"Red","place-jfk",80
"Red","place-shmnl",81
"Red","place-fldcr",93
"Red","place-smmnl",81
"Red","place-asmnl",81
"Red","place-nqncy",88
"Red","place-wlsta",89
"Red","place-qnctr",93
"Red","place-qamnl",55
"Red","place-brntn",60
"Mattapan","place-asmnl",81
"Mattapan","place-cedgr",48
"Mattapan","place-butlr",65
"Mattapan","place-miltt",85
"Mattapan","place-cenav",82
"Mattapan","place-valrd",60
"Mattapan","place-capst",34
"Mattapan","place-matt",84
"Orange","place-ogmnl",62
"Orange","place-mlmnl",96
"Orange","place-welln",76
"Orange","place-astao",83
"Orange","place-sull",89
"Orange","place-ccmnl",89
"Orange","place-north",98
"Orange","place-haecl",99
"Orange","place-state",99
"Orange","place-dwnxg",99
"Orange","place-chncl",99
"Orange","place-tumnl",99
"Orange","place-bbsta",99
"Orange","place-masta",97
"Orange","place-rugg",89
"Orange","place-rcmnl",85
"Orange","place-jaksn",73
"Orange","place-sbmnl",91
"Orange","place-grnst",90
"Orange","place-forhl",89
"Green-B","place-gover",99
"Green-B","place-pktrm",99
"Green-B","place-boyls",99
"Green-B","place-armnl",96
"Green-B","place-coecl",100
"Green-B","place-hymnl",98
"Green-B","place-kencl",95
"Green-B","place-bland",96
"Green-B","place-buest",94
"Green-B","place-bucen",92
"Green-B","place-amory",88
"Green-B","place-babck",94
"Green-B","place-brico",98
"Green-B","place-harvd",99
"Green-B","place-grigg",93
"Green-B","place-alsgr",93
"Green-B","place-wrnst",89
"Green-B","place-wascm",88
"Green-B","place-sthld",86
"Green-B","place-chswk",86
"Green-B","place-chill",87
"Green-B","place-sougr",75
"Green-B","place-lake",56
"Green-C","place-gover",99
"Green-C","place-pktrm",99
"Green-C","place-boyls",99
"Green-C","place-armnl",96
"Green-C","place-coecl",100
"Green-C","place-hymnl",98
"Green-C","place-kencl",95
"Green-C","place-smary",94
"Green-C","place-hwsst",88
"Green-C","place-kntst",84
"Green-C","place-stpul",93
"Green-C","place-cool",97
"Green-C","place-sumav",96
"Green-C","place-bndhl",93
"Green-C","place-fbkst",89
"Green-C","place-bcnwa",89
"Green-C","place-tapst",86
"Green-C","place-denrd",85
"Green-C","place-engav",85
"Green-C","place-clmnl",86
"Green-D","place-unsqu",92
"Green-D","place-lech",86
"Green-D","place-spmnl",94
"Green-D","place-north",98
"Green-D","place-haecl",99
"Green-D","place-gover",99
"Green-D","place-pktrm",99
"Green-D","place-boyls",99
"Green-D","place-armnl",96
"Green-D","place-coecl",100
"Green-D","place-hymnl",98
"Green-D","place-kencl",95
"Green-D","place-fenwy",95
"Green-D","place-longw",77
"Green-D","place-bvmnl",95
"Green-D","place-brkhl",88
"Green-D","place-bcnfd",81
"Green-D","place-rsmnl",82
"Green-D","place-chhil",70
"Green-D","place-newto",81
"Green-D","place-newtn",74
"Green-D","place-eliot",45
"Green-D","place-waban",67
"Green-D","place-woodl",21
"Green-D","place-river",34
"Green-E","place-mdftf",83
"Green-E","place-balsq",94
"Green-E","place-mgngl",82
"Green-E","place-gilmn",89
"Green-E","place-esomr",88
"Green-E","place-lech",86
"Green-E","place-spmnl",94
"Green-E","place-north",98
"Green-E","place-haecl",99
"Green-E","place-gover",99
"Green-E","place-pktrm",99
"Green-E","place-boyls",99
"Green-E","place-armnl",96
"Green-E","place-coecl",100
"Green-E","place-prmnl",98
"Green-E","place-symcl",99
"Green-E","place-nuniv",97
"Green-E","place-mfa",92
"Green-E","place-lngmd",88
"Green-E","place-brmnl",92
"Green-E","place-fenwd",91
"Green-E","place-mispk",88
"Green-E","place-rvrwy",62
"Green-E","place-bckhl",67
"Green-E","place-hsmnl",74
"Blue","place-wondl",65
"Blue","place-rbmnl",84
"Blue","place-bmmnl",81
"Blue","place-sdmnl",51
"Blue","place-orhte",80
"Blue","place-wimnl",83
"Blue","place-aport",93
"Blue","place-mvbcl",93
"Blue","place-aqucl",99
"Blue","place-state",99
"Blue","place-gover",99
"Blue","place-bomnl",98
