FID,station,st_num,lot_id,station_name,line_id,mode,permitrequired_1,permit_only_spaces_1,permit_only_vehicles_1,permit_only_space_utilization_1,parking_space_non_hp_1,used_spaces_non_hp_1,hp_parking_spaces_1,used_hp_parking_spaces_1,total_spaces_1,total_used_spaces_1,total_utilization_all_parking_1,publicparkingnohp_spaces_1,publicparkingnohp_vehicles_1,publicparkingnohp_utilization_1,cars_not_in_marked_spaces_1,lot_ownership_1,parking_fee_1,data_year
ctps_pnr_lots_polygons.1,Newburyport,109,0,Newburyport,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,200,51,9,1,209,52,0.24880383,200,51,0.255,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.2,Newburyport,109,1,Newburyport,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,291,241,9,2,300,243,0.81,291,241,0.82817869,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.3,Newburyport,109,2,Newburyport,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,374,51,6,0,380,51,0.13421053,374,51,0.13636364,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.4,Rowley,113,3,Rowley,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,275,40,8,0,283,40,0.14134276,275,40,0.14545455,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.5,Ipswich,105,4,Ipswich,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,128,128,4,3,132,131,0.99242424,128,128,1,0,Town,0,2017-2018
ctps_pnr_lots_polygons.6,Hamilton/Wenham,104,5,Hamilton/Wenham,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,188,109,6,0,194,109,0.56185567,188,109,0.57978723,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.7,North Beverly,110,6,North Beverly,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,82,54,4,1,86,55,0.63953488,82,54,0.65853659,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.8,Rockport,112,7,Rockport,Newburyport/Rockport,Commuter Rail ,No,0,0,N/A,80,68,3,0,83,68,0.81927711,80,68,0.85,5,Town,0,2017-2018
ctps_pnr_lots_polygons.9,Beachmont,1,10,Beachmont,Blue Line,Rapid Transit,No,0,0,N/A,410,289,6,2,416,291,0.69951923,410,289,0.70487805,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.10,Maverick,2,12,Maverick,Blue Line,Rapid Transit,No,0,0,N/A,30,20,0,0,30,20,0.66666667,30,20,0.66666667,0,Private,12,2017-2018
ctps_pnr_lots_polygons.11,Orient Heights,3,13,Orient Heights,Blue Line,Rapid Transit,No,0,0,N/A,403,303,8,5,411,308,0.74939173,403,303,0.75186104,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.12,Abington,73,16,Abington,Kingston/Plymouth,Commuter Rail ,No,0,0,N/A,395,353,9,0,404,353,0.87376238,395,353,0.89367089,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.13,Abington,73,17,Abington,Kingston/Plymouth,Commuter Rail ,Yes,159,59,37%,159,59,0,0,159,59,0.37106918,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.14,Abington,73,18,Abington,Kingston/Plymouth,Commuter Rail ,Yes,39,27,69%,39,27,0,0,39,27,0.69230769,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.15,Alewife,134,19,Alewife,Red Line,Rapid Transit,No,0,0,N/A,2439,2432,32,21,2471,2453,0.9927155,2439,2432,0.99712997,0,MBTA,7,2017-2018
ctps_pnr_lots_polygons.16,Anderson/Woburn,80,20,Anderson/Woburn,Lowell,Commuter Rail ,No,0,0,N/A,1200,841,21,4,1221,845,0.69205569,1200,841,0.70083333,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.17,Andover,60,21,Andover,Haverhill,Commuter Rail ,No,0,0,N/A,145,145,4,0,149,145,0.97315436,145,145,1,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.40,Silver Hill,19,51,Silver Hill,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,8,1,0,0,8,1,0.125,8,1,0.125,0,Town,0,2017-2018
ctps_pnr_lots_polygons.18,Ashland,23,23,Ashland,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,678,548,15,4,693,552,0.7965368,678,548,0.80825959,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.42,South Acton,20,53,South Acton,Fitchburg/South Acton,Commuter Rail ,Yes,24,24,100%,24,24,2,1,26,25,0.96153846,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.19,Attleboro,124,25,Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,700,690,16,3,716,693,0.9678771,700,690,0.98571429,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.20,Attleboro,124,27,Attleboro,Providence/Stoughton,Commuter Rail ,No,0,0,N/A,257,250,0,0,257,250,0.97276265,257,250,0.97276265,0,Private,3,2017-2018
ctps_pnr_lots_polygons.21,Ayer,9,28,Ayer,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,64,64,5,0,69,64,0.92753623,64,64,1,0,Town,0,2017-2018
ctps_pnr_lots_polygons.22,Belmont,10,29,Belmont,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,119,80,6,2,125,82,0.656,119,80,0.67226891,0,Town,3,2017-2018
ctps_pnr_lots_polygons.23,Brandeis/Roberts,11,30,Brandeis/Roberts,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,53,15,5,0,58,15,0.25862069,53,15,0.28301887,0,Private,4.5,2017-2018
ctps_pnr_lots_polygons.24,Brandeis/Roberts,11,31,Brandeis/Roberts,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,23,15,1,0,24,15,0.625,23,15,0.65217391,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.25,Concord,12,32,Concord,Fitchburg/South Acton,Commuter Rail ,Yes,57,33,58%,57,33,0,0,57,33,0.57894737,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.26,Concord,12,33,Concord,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,23,20,1,0,24,20,0.83333333,23,20,0.86956522,0,Town,0,2017-2018
ctps_pnr_lots_polygons.27,Concord,12,34,Concord,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,18,18,0,0,18,18,1,18,18,1,0,Town,0,2017-2018
ctps_pnr_lots_polygons.28,Concord,12,35,Concord,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,44,25,0,0,44,25,0.56818182,44,25,0.56818182,0,Town,0,2017-2018
ctps_pnr_lots_polygons.29,Fitchburg,13,36,Fitchburg,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,193,95,10,2,203,97,0.47783251,193,95,0.49222798,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.30,Fitchburg,13,37,Fitchburg,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,47,40,4,2,51,42,0.82352941,47,40,0.85106383,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.31,Hastings,14,38,Hastings,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,7,6,0,0,7,6,0.85714286,7,6,0.85714286,0,Town,0,2017-2018
ctps_pnr_lots_polygons.32,Kendal Green,15,40,Kendal Green,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,52,41,0,0,52,41,0.78846154,52,41,0.78846154,0,Private,4,2017-2018
ctps_pnr_lots_polygons.33,Lincoln,16,41,Lincoln,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,100,83,4,2,104,85,0.81730769,100,83,0.83,0,Town,3,2017-2018
ctps_pnr_lots_polygons.34,Lincoln,16,42,Lincoln,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,20,18,0,0,20,18,0.9,20,18,0.9,0,Private,0,2017-2018
ctps_pnr_lots_polygons.35,Lincoln,16,44,Lincoln,Fitchburg/South Acton,Commuter Rail ,Yes,54,54,100%,54,54,0,0,54,54,1,0,0,0,2,Town,0,2017-2018
ctps_pnr_lots_polygons.36,Littleton,144,320,Littleton,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,26,26,0,0,26,26,1,26,26,1,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.37,Littleton,144,48,Littleton,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,194,194,6,0,200,194,0.97,194,194,1,14,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.38,North Leominster,17,49,North Leominster,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,436,130,7,0,443,130,0.29345373,436,130,0.29816514,0,MBTA,3,2017-2018
ctps_pnr_lots_polygons.39,Shirley,18,50,Shirley,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,113,100,3,1,116,101,0.87068966,113,100,0.88495575,0,Town,0,2017-2018
ctps_pnr_lots_polygons.41,South Acton,20,52,South Acton,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,110,106,0,0,110,106,0.96363636,110,106,0.96363636,0,Town,5,2017-2018
ctps_pnr_lots_polygons.43,Waltham,21,54,Waltham,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,50,38,2,0,52,38,0.73076923,50,38,0.76,0,Town,2,2017-2018
ctps_pnr_lots_polygons.44,Waltham,21,55,Waltham,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,36,26,2,0,38,26,0.68421053,36,26,0.72222222,2,Town,2,2017-2018
ctps_pnr_lots_polygons.45,West Concord,22,57,West Concord,Fitchburg/South Acton,Commuter Rail ,No,0,0,N/A,177,136,6,4,183,140,0.76502732,177,136,0.76836158,0,Town,4.5,2017-2018
ctps_pnr_lots_polygons.46,Southborough,29,58,Southborough,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,364,351,8,1,372,352,0.94623656,364,351,0.96428571,0,MBTA,4.5,2017-2018
ctps_pnr_lots_polygons.47,Natick,27,59,Natick,Framingham/Worcester,Commuter Rail ,Yes,83,43,52%,83,43,0,0,83,43,0.51807229,0,0,0,0,Town,0,2017-2018
ctps_pnr_lots_polygons.48,Wellesely Farms,30,60,Wellesley Farms,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,192,192,2,0,194,192,0.98969072,192,192,1,2,Town,6,2017-2018
ctps_pnr_lots_polygons.49,Wellesely Hills,31,61,Wellesley Hills,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,50,50,1,0,51,50,0.98039216,50,50,1,0,Town,0,2017-2018
ctps_pnr_lots_polygons.50,Wellesely Hills,31,62,Wellesley Hills,Framingham/Worcester,Commuter Rail ,No,0,0,N/A,17,17,0,0,17,17,1,17,17,1,0,On-Street,0,2017-2018
ctps_pnr_lots_polygons.51,Woodland,52,63,Woodland,Green Line,Rapid Transit,No,0,0,N/A,548,416,11,4,559,420,0.75134168,548,416,0.75912409,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.52,Waban,51,64,Waban,Green Line,Rapid Transit,No,0,0,N/A,54,54,3,0,57,54,0.94736842,54,54,1,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.53,Riverside,50,65,Riverside,Green Line,Rapid Transit,No,0,0,N/A,271,269,8,2,279,271,0.97132617,271,269,0.99261993,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.54,Riverside,50,66,Riverside,Green Line,Rapid Transit,No,0,0,N/A,688,391,14,2,702,393,0.55982906,688,391,0.56831395,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.55,Eliot,48,68,Eliot,Green Line,Rapid Transit,No,0,0,N/A,49,49,3,0,52,49,0.94230769,49,49,1,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.56,Chestnut Hill,47,69,Chestnut Hill,Green Line,Rapid Transit,No,0,0,N/A,69,69,0,0,69,69,1,69,69,1,0,MBTA,6,2017-2018
ctps_pnr_lots_polygons.57,Wollaston,143,70,Wollaston,Red Line,Rapid Transit,No,0,0,N/A,524,523,11,4,535,527,0.98504673,524,523,0.9980916,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.58,Savin Hill,142,71,Savin Hill,Red Line,Rapid Transit,No,0,0,N/A,16,14,2,2,18,16,0.88888889,16,14,0.875,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.59,Quincy Adams,176,72,Quincy Adam,Red Line,Rapid Transit,No,0,0,N/A,2159,1629,34,14,2193,1643,0.74920201,2159,1629,0.75451598,0,MBTA,7,2017-2018
ctps_pnr_lots_polygons.60,North Quincy,139,75,North Quincy,Red Line,Rapid Transit,No,0,0,N/A,825,811,17,4,842,815,0.96793349,825,811,0.9830303,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.61,North Quincy,139,76,North Quincy,Red Line,Rapid Transit,No,0,0,N/A,348,329,0,0,348,329,0.9454023,348,329,0.9454023,0,MBTA,5,2017-2018
ctps_pnr_lots_polygons.62,Braintree,135,77,Braintree,Red Line,Rapid Transit,No,0,0,N/A,1177,1142,20,12,1197,1154,0.96407686,1177,1142,0.97026338,0,MBTA,7,2017-2018
ctps_pnr_lots_polygons.63,Green Street,118,79,Green Street,Orange Line,Rapid Transit,Yes,39,22,56%,39,22,0,0,39,22,0.56410256,0,0,0,0,Private,0,2017-2018
ctps_pnr_lots_polygons.64,Butler,136,80,Butler,Red Line,Rapid Transit,No,0,0,N/A,44,36,0,0,44,36,0.81818182,44,36,0.81818182,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.65,Mattapan,137,82,Mattapan,Red Line,Rapid Transit,No,0,0,N/A,209,31,0,0,209,31,0.14832536,209,31,0.14832536,0,MBTA,4,2017-2018
ctps_pnr_lots_polygons.66,Milton,138,83,Milton,Red Line,Rapid Transit,No,0,0,N/A,35,35,2,0,37,35,0.94594595,35,35,1,0,MBTA,4,2017-2018
