"route_id","route_long_name","parent_station","stop_name","stop_lat","stop_lon"
"Red","Red Line","place-alfcl","Alewife",42.395428,-71.142483
"Red","Red Line","place-davis","Davis",42.39674,-71.121815
"Red","Red Line","place-portr","Porter",42.3884,-71.119149
"Red","Red Line","place-harsq","Harvard",42.373362,-71.118956
"Red","Red Line","place-cntsq","Central",42.365486,-71.103802
"Red","Red Line","place-knncl","Kendall/MIT",42.362491,-71.086177
"Red","Red Line","place-chmnl","Charles/MGH",42.361166,-71.070628
"Red","Red Line","place-pktrm","Park Street",42.356395,-71.062424
"Red","Red Line","place-dwnxg","Downtown Crossing",42.355518,-71.060225
"Red","Red Line","place-sstat","South Station",42.352271,-71.055242
"Red","Red Line","place-brdwy","Broadway",42.342622,-71.056967
"Red","Red Line","place-andrw","Andrew",42.330154,-71.057655
"Red","Red Line","place-jfk","JFK/UMass",42.320685,-71.052391
"Red","Red Line","place-shmnl","Savin Hill",42.31129,-71.053331
"Red","Red Line","place-fldcr","Fields Corner",42.300093,-71.061667
"Red","Red Line","place-smmnl","Shawmut",42.293126,-71.065738
"Red","Red Line","place-asmnl","Ashmont",42.284652,-71.064489
"Red","Red Line","place-nqncy","North Quincy",42.275275,-71.029583
"Red","Red Line","place-wlsta","Wollaston",42.266514,-71.020337
"Red","Red Line","place-qnctr","Quincy Center",42.251809,-71.005409
"Red","Red Line","place-qamnl","Quincy Adams",42.233391,-71.007153
"Red","Red Line","place-brntn","Braintree",42.207854,-71.001138
"Mattapan","Mattapan Trolley","place-asmnl","Ashmont",42.284652,-71.064489
"Mattapan","Mattapan Trolley","place-cedgr","Cedar Grove",42.279682,-71.060432
"Mattapan","Mattapan Trolley","place-butlr","Butler",42.272343,-71.062584
"Mattapan","Mattapan Trolley","place-miltt","Milton",42.270306,-71.067673
"Mattapan","Mattapan Trolley","place-cenav","Central Avenue",42.270027,-71.073334
"Mattapan","Mattapan Trolley","place-valrd","Valley Road",42.268322,-71.081566
"Mattapan","Mattapan Trolley","place-capst","Capen Street",42.267712,-71.087753
"Mattapan","Mattapan Trolley","place-matt","Mattapan",42.267762,-71.092241
"Orange","Orange Line","place-ogmnl","Oak Grove",42.43668,-71.071097
"Orange","Orange Line","place-mlmnl","Malden Center",42.426632,-71.07411
"Orange","Orange Line","place-welln","Wellington",42.40237,-71.077082
"Orange","Orange Line","place-astao","Assembly",42.392811,-71.077257
"Orange","Orange Line","place-sull","Sullivan Square",42.383975,-71.076994
"Orange","Orange Line","place-ccmnl","Community College",42.373622,-71.069533
"Orange","Orange Line","place-north","North Station",42.365577,-71.06129
"Orange","Orange Line","place-haecl","Haymarket",42.363021,-71.05829
"Orange","Orange Line","place-state","State",42.358978,-71.057598
"Orange","Orange Line","place-dwnxg","Downtown Crossing",42.355518,-71.060225
"Orange","Orange Line","place-chncl","Chinatown",42.352547,-71.062752
"Orange","Orange Line","place-tumnl","Tufts Medical Center",42.349662,-71.063917
"Orange","Orange Line","place-bbsta","Back Bay",42.34735,-71.075727
"Orange","Orange Line","place-masta","Massachusetts Avenue",42.341512,-71.083423
"Orange","Orange Line","place-rugg","Ruggles",42.336377,-71.088961
"Orange","Orange Line","place-rcmnl","Roxbury Crossing",42.331397,-71.095451
