,parent_station,avgtotjobs,jobspersqft
0,place-alfcl,198.33333333333334,121281900.74776866
1,place-alsgr,34.30769230769231,14292114.460275246
2,place-amory,74.15384615384616,60863365.336551666
3,place-andrw,72.16901408450704,24426764.60776249
4,place-aport,18.939393939393938,11152357.850670224
5,place-aqucl,161.53125,158113990.0009291
6,place-armnl,466.46774193548384,364061589.7411208
7,place-asmnl,18.57777777777778,6981227.390641263
8,place-astao,655.4,229697033.02442056
9,place-babck,1274.4,202567867.27978012
10,place-balsq,10.112903225806452,11020574.978175363
11,place-bbsta,544.5140186915888,341680780.8244466
12,place-bckhl,97.33333333333333,17612217.74514604
13,place-bcnfd,6.533333333333333,2154077.6711580795
14,place-bcnwa,56.07142857142857,24588408.898216344
15,place-bland,274.1111111111111,97409432.66358954
16,place-bmmnl,7.733333333333333,5537589.692423894
17,place-bndhl,27.0,10886541.900733026
18,place-bomnl,744.6266666666667,386722490.8795138
19,place-boyls,357.6,421941452.91668504
20,place-brdwy,131.4375,123097820.62514272
21,place-brico,83.6,65485807.64472423
22,place-brkhl,65.1875,34387502.8578886
23,place-brmnl,2934.3076923076924,694564797.1344081
24,place-brntn,227.8,66235973.263405286
25,place-bucen,41.333333333333336,35426430.03682768
26,place-buest,14.333333333333334,23075442.630340487
27,place-butlr,28.375,8799408.95622994
28,place-bvmnl,111.45714285714286,74819605.18507108
29,place-capst,2.9,1217011.5400328378
30,place-ccmnl,63.46153846153846,103984610.13083851
31,place-cedgr,94.42105263157895,31354699.813128646
32,place-cenav,32.04761904761905,11664482.509316524
33,place-chhil,46.9375,30829869.109008845
34,place-chill,34.0,22209852.4367237
35,place-chmnl,518.59375,144568136.66115922
36,place-chncl,327.7027027027027,493417834.6024439
37,place-chswk,30.444444444444443,7611403.72324971
38,place-clmnl,80.83333333333333,63545694.79380545
39,place-cntsq,131.5528455284553,137250392.89428636
40,place-coecl,584.4716981132076,396556311.1700829
41,place-cool,136.88235294117646,65573791.44083685
42,place-davis,41.49514563106796,39683467.73711477
43,place-denrd,5.0,3674208.5799569148
44,place-dwnxg,1124.2956521739131,1383158224.5294895
45,place-eliot,8.541666666666666,4974114.833521678
46,place-engav,26.142857142857142,29192652.610760447
47,place-esomr,147.96428571428572,44547802.91573239
48,place-fbkst,11.666666666666666,6359664.987323493
49,place-fenwd,318.9230769230769,177219720.92731512
50,place-fenwy,267.9375,116065241.20981385
51,place-fldcr,53.705882352941174,28924845.821010478
52,place-forhl,50.114285714285714,22580056.8772373
53,place-gilmn,40.53448275862069,16106471.586360255
54,place-gover,1166.8085106382978,1299433385.799726
55,place-grigg,16.0,12299309.675859863
56,place-grnst,36.67213114754098,22726259.713677384
57,place-haecl,130.748031496063,168787180.3995359
58,place-harsq,329.7435897435897,1209111062.4894354
59,place-harvd,67.16,31226775.776085712
60,place-hsmnl,265.7692307692308,43446223.07531137
61,place-hwsst,140.0,35864827.22004582
62,place-hymnl,85.06818181818181,81088889.52370794
63,place-jaksn,39.78,21521406.331382252
64,place-jfk,206.1578947368421,31209764.02003824
65,place-kencl,89.88888888888889,51578128.60135614
66,place-knncl,1208.4347826086957,487839852.3925035
67,place-kntst,18.142857142857142,12099069.005469725
68,place-lake,279.6666666666667,80154914.36159267
69,place-lech,202.47368421052633,133438211.58162716
70,place-lngmd,143.47826086956522,89605628.07026523
71,place-longw,1368.1818181818182,228664105.20958903
72,place-masta,146.60227272727272,115692630.08663394
73,place-matt,28.4375,11678901.311207691
74,place-mdftf,157.9090909090909,19485024.55099801
75,place-mfa,207.11111111111111,45561320.873174876
76,place-mgngl,22.76923076923077,13579026.406930108
77,place-miltt,45.4,17808941.576285385
78,place-mispk,16.1,8328683.693745799
79,place-mlmnl,103.3225806451613,71665852.61792716
80,place-mvbcl,47.53125,46998077.91725467
81,place-newtn,25.916666666666668,12101446.204599563
82,place-newto,70.1,44305205.95978038
83,place-north,410.94520547945206,288912874.5117398
84,place-nqncy,218.82051282051282,37141905.717710406
85,place-nuniv,264.96774193548384,672090104.6038597
86,place-ogmnl,22.75,11075114.745366171
87,place-orhte,33.8,22683136.640859753
88,place-pktrm,1031.2043010752689,1036433743.2133048
89,place-portr,28.56382978723404,35063699.94823872
90,place-prmnl,392.60869565217394,120192626.51923311
91,place-qamnl,230.92307692307693,85355832.03808707
92,place-qnctr,222.72916666666666,111071812.27847774
93,place-rbmnl,20.884615384615383,9022259.431852408
94,place-rcmnl,37.04347826086956,20459942.313445687
95,place-river,566.875,43825653.495684616
96,place-rsmnl,8.285714285714286,1897636.9018850778
97,place-rugg,225.37777777777777,454782633.41436183
98,place-rvrwy,19.166666666666668,16990424.494289786
99,place-sbmnl,20.314814814814813,16544656.281083867
100,place-sdmnl,92.0,28080771.244057838
101,place-shmnl,45.421052631578945,17964913.69336902
102,place-smary,72.125,61116041.23299447
103,place-smmnl,23.783333333333335,18502495.65085526
104,place-sougr,11.0,5040903.529484288
105,place-spmnl,1481.6818181818182,300615548.38721585
106,place-sstat,1187.263888888889,1147512072.3677094
107,place-state,1343.5,1625908850.5943892
108,place-sthld,12.083333333333334,5061829.599933107
109,place-stpul,25.916666666666668,11824642.990141815
110,place-sull,117.89583333333333,51314684.585323565
111,place-sumav,52.5,25602219.706733555
112,place-symcl,84.37837837837837,183686641.48028293
113,place-tapst,27.5,39512916.18240552
