"","Fall.2019.weekday.base.full","Fall.2023.weekday.base.full","Fall.2019.weekend.base.full","Fall.2023.weekend.base.full","Fall.2019.weekday.enhanced.full","Fall.2023.weekday.enhanced.full","Fall.2019.weekend.enhanced.full","Fall.2023.weekend.enhanced.full","Fall.2019.weekday.base.bosonly","Fall.2023.weekday.base.bosonly","Fall.2019.weekend.base.bosonly","Fall.2023.weekend.base.bosonly","Fall.2019.weekday.enhanced.bosonly","Fall.2023.weekday.enhanced.bosonly","Fall.2019.weekend.enhanced.bosonly","Fall.2023.weekend.enhanced.bosonly"
"(Intercept)","11755.79 (se=8708.66, t=1.35)","12392.8 (se=4283.88, t=2.89)","7442.8 (se=4739.77, t=1.57)","8660.34 (se=3889.25, t=2.23)","9822.32 (se=8929.45, t=1.1)","12609.26 (se=4412.86, t=2.86)","6067.33 (se=4838.02, t=1.25)","8579.67 (se=4009.46, t=2.14)","-2935.95 (se=28351.64, t=-0.1)","11994 (se=16136.13, t=0.74)","11865.96 (se=15832.03, t=0.75)","9656.67 (se=13468.38, t=0.72)","-2532.39 (se=29500.51, t=-0.09)","14921.14 (se=16505.56, t=0.9)","12343.96 (se=16496.08, t=0.75)","12213.82 (se=13623.2, t=0.9)"
"avg_trav_time_to_cbd","0.5 (se=0.97, vif=5.45, t=0.52)","-0.36 (se=0.4, vif=4.72, t=-0.9)","-0.8 (se=0.51, vif=5.04, t=-1.58)","-0.5 (se=0.34, vif=4.29, t=-1.45)","0.53 (se=0.97, vif=5.46, t=0.55)","-0.36 (se=0.4, vif=4.72, t=-0.89)","-0.78 (se=0.51, vif=5.05, t=-1.54)","-0.5 (se=0.35, vif=4.29, t=-1.45)","1.4 (se=1.16, vif=3.58, t=1.21)","-0.69 (se=0.48, vif=2.72, t=-1.44)","-0.73 (se=0.64, vif=3.42, t=-1.14)","-0.85 (se=0.39, vif=2.64, t=-2.14)","2.07 (se=1.34, vif=4.48, t=1.55)","-0.82 (se=0.53, vif=3.22, t=-1.56)","-0.89 (se=0.74, vif=4.32, t=-1.19)","-1.03 (se=0.44, vif=3.18, t=-2.37)"
"avg_headway","-21.39 (se=3.46, vif=1.96, t=-6.18)","-8.42 (se=1.31, vif=3.01, t=-6.42)","-6.83 (se=1.21, vif=1.77, t=-5.63)","-5.4 (se=0.98, vif=2.69, t=-5.51)","-21.21 (se=3.47, vif=1.96, t=-6.11)","-8.43 (se=1.32, vif=3.02, t=-6.4)","-6.76 (se=1.21, vif=1.77, t=-5.59)","-5.4 (se=0.99, vif=2.71, t=-5.46)","-9.82 (se=3.91, vif=1.49, t=-2.51)","-3.12 (se=1.46, vif=1.57, t=-2.14)","-6.46 (se=1.36, vif=1.3, t=-4.75)","-3.9 (se=0.98, vif=1.41, t=-3.98)","-10.11 (se=4.21, vif=1.63, t=-2.4)","-3.32 (se=1.5, vif=1.6, t=-2.22)","-6.31 (se=1.47, vif=1.43, t=-4.29)","-3.97 (se=1, vif=1.46, t=-3.98)"
"avg_spacing_km","942.5 (se=785.44, vif=3.2, t=1.2)","101.49 (se=393.82, vif=2.87, t=0.26)","877.07 (se=428.6, vif=3.2, t=2.05)","322.05 (se=358.71, vif=2.89, t=0.9)","917.56 (se=785.99, vif=3.2, t=1.17)","111.87 (se=398.47, vif=2.91, t=0.28)","858.88 (se=427.17, vif=3.21, t=2.01)","318.11 (se=363.15, vif=2.93, t=0.88)","5080.59 (se=1489.95, vif=2.52, t=3.41)","2297.34 (se=887.28, vif=2.64, t=2.59)","1088.71 (se=839.24, vif=2.51, t=1.3)","864.37 (se=745, vif=2.64, t=1.16)","5491.33 (se=1610.13, vif=2.75, t=3.41)","2288.37 (se=925.21, vif=2.79, t=2.47)","992.2 (se=909.63, vif=2.75, t=1.09)","770.91 (se=767.66, vif=2.78, t=1)"
"cov_tt","12156.41 (se=3590.44, vif=3.55, t=3.39)","-3156.3 (se=2114.31, vif=2.66, t=-1.49)","1295.26 (se=1961.85, vif=3.57, t=0.66)","-3453.77 (se=1911.38, vif=2.65, t=-1.81)","12812.9 (se=3652.63, vif=3.67, t=3.51)","-3228.72 (se=2149.31, vif=2.73, t=-1.5)","1767.97 (se=1987.66, vif=3.69, t=0.89)","-3426.98 (se=1943.8, vif=2.71, t=-1.76)","17608.96 (se=3626.33, vif=2.74, t=4.86)","-1948.08 (se=2367.27, vif=1.96, t=-0.82)","1847.29 (se=2044.68, vif=2.74, t=0.9)","-2523.91 (se=1996.74, vif=1.97, t=-1.26)","18771.8 (se=3989.49, vif=3.1, t=4.71)","-2516.55 (se=2476.66, vif=2.09, t=-1.02)","1084.85 (se=2253.69, vif=3.1, t=0.48)","-2796.93 (se=2065.67, vif=2.1, t=-1.35)"
"Red","5854.22 (se=1139.41, vif=3.11, t=5.14)","4653.33 (se=629.79, vif=3.55, t=7.39)","767.02 (se=613.18, vif=3.03, t=1.25)","2227.08 (se=551.18, vif=3.31, t=4.04)","5797.01 (se=1141.11, vif=3.11, t=5.08)","4653.25 (se=632.86, vif=3.55, t=7.35)","729.99 (se=611.48, vif=3.04, t=1.19)","2227.14 (se=553.99, vif=3.31, t=4.02)","--","--","--","--","--","--","--","--"
"Orange","3798.92 (se=1041.81, vif=2.5, t=3.65)","2054.95 (se=606.15, vif=3.06, t=3.39)","139 (se=583.29, vif=2.64, t=0.24)","937.73 (se=567.27, vif=3.25, t=1.65)","3782.32 (se=1042.14, vif=2.5, t=3.63)","2050.52 (se=609.43, vif=3.06, t=3.36)","128.13 (se=581.1, vif=2.64, t=0.22)","939.03 (se=570.34, vif=3.25, t=1.65)","--","--","--","--","--","--","--","--"
"Blue","1818.73 (se=1146.04, vif=1.98, t=1.59)","1730.92 (se=557.25, vif=1.68, t=3.11)","327.76 (se=631.69, vif=2.03, t=0.52)","1717.37 (se=546.26, vif=1.96, t=3.14)","1913.32 (se=1150.28, vif=1.99, t=1.66)","1724.69 (se=560.67, vif=1.68, t=3.08)","396.67 (se=631.47, vif=2.04, t=0.63)","1718.81 (se=549.28, vif=1.96, t=3.13)","--","--","--","--","--","--","--","--"
"transfer","12812.92 (se=1924.43, vif=3.42, t=6.66)","8541.04 (se=1001.93, vif=3.75, t=8.52)","6496.35 (se=1047.37, vif=3.42, t=6.2)","5481.8 (se=907.09, vif=3.74, t=6.04)","13349.43 (se=2000.63, vif=3.7, t=6.67)","8476.64 (se=1047.4, vif=4.06, t=8.09)","6886.56 (se=1085.44, vif=3.7, t=6.34)","5505.58 (se=948.84, vif=4.05, t=5.8)","15673.83 (se=1764.56, vif=2.28, t=8.88)","10768.04 (se=941.99, vif=2.19, t=11.43)","7518.55 (se=995.39, vif=2.28, t=7.55)","6859.07 (se=791.73, vif=2.19, t=8.66)","15782.32 (se=1971.32, vif=2.68, t=8.01)","10568.69 (se=1053.48, vif=2.66, t=10.03)","7154.55 (se=1112.05, vif=2.67, t=6.43)","6609.92 (se=876.3, vif=2.67, t=7.54)"
"terminal","54.29 (se=968.6, vif=1.41, t=0.06)","242.21 (se=528.62, vif=1.4, t=0.46)","150.22 (se=527.56, vif=1.41, t=0.28)","153.75 (se=478.87, vif=1.39, t=0.32)","136.7 (se=972.39, vif=1.42, t=0.14)","251.38 (se=532.79, vif=1.4, t=0.47)","208.19 (se=527.4, vif=1.42, t=0.39)","150.34 (se=482.79, vif=1.4, t=0.31)","-1039.71 (se=1325.38, vif=1.28, t=-0.78)","121.37 (se=955.22, vif=1.47, t=0.13)","-104.68 (se=746.79, vif=1.28, t=-0.14)","236.29 (se=804.78, vif=1.48, t=0.29)","-1447.88 (se=1577.88, vif=1.71, t=-0.92)","178.27 (se=1048.99, vif=1.73, t=0.17)","-98.72 (se=892.94, vif=1.72, t=-0.11)","687.49 (se=873.77, vif=1.74, t=0.79)"
